event_index,event_initiation,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,NAC_norm,duration (hh:mm),cause_code,gen_rating_group (MW),gen_unit_type,gen_fuel,gen_state
1,2013-01-03 19:00:00,-15.0,"[-16.0, -17.0, -18.0, -19.0, -20.0, -22.0, -24.0, -25.0, -27.0, -27.0, -27.0, -27.0, -25.0, -24.0, -26.0, -26.0, -27.0, -28.0, -26.0, -22.0, -20.0, -18.0, -17.0, -16.0]",395.2642227355466,2.148420974523464,0.68,0.0,00:51,Cooling and seal air system B,<100,Combined Cycle Block,Gas,NY
2,2013-01-26 16:00:00,-13.0,"[-16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0, -14.0]",289.26465831307974,1.2121944737067631,0.6,0.0,01:54,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
3,2013-01-23 07:00:00,-23.0,"[-17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0, -18.0, -19.0, -20.0, -21.0, -22.0]",317.1938662601234,1.4588753423434322,0.64,0.0,12:25,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
4,2013-01-24 18:00:00,-18.0,"[-22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0, -23.0, -23.0, -24.0, -24.0, -25.0, -26.0, -27.0, -27.0, -27.0, -27.0, -27.0, -26.0, -24.0, -22.0, -22.0, -20.0, -19.0]",411.0639048254536,2.287969482648416,0.73,0.0,04:25,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
5,2013-01-23 02:00:00,-18.0,"[-14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0]",292.35865712590146,1.2395217905485025,0.51,0.0,17:06,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
6,2013-01-27 12:00:00,-21.0,"[-21.0, -19.0, -16.0, -14.0, -13.0, -13.0, -11.0, -11.0, -10.0, -11.0, -13.0, -15.0, -16.0, -17.0, -17.0, -18.0, -17.0, -17.0, -17.0, -19.0, -19.0, -19.0, -21.0, -21.0]",296.37826536471766,1.275024424701622,0.57,0.0,04:59,Storms (ice; snow; etc),<100,CC GT units ,Gas,NY
7,2013-01-23 00:00:00,-17.0,"[-15.0, -14.0, -14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0]",288.2355032000359,1.2031046034272734,0.54,0.82,02:11,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
8,2013-01-23 02:00:00,-18.0,"[-14.0, -15.0, -15.0, -15.0, -16.0, -17.0, -16.0, -17.0, -18.0, -17.0, -17.0, -17.0, -17.0, -17.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -16.0, -17.0, -17.0, -17.0]",292.35865712590146,1.2395217905485025,0.51,0.0,00:57,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
9,2013-01-26 15:00:00,-14.0,"[-17.0, -16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0]",292.99301886845785,1.2451247029540526,0.59,0.0,111:50,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
10,2013-01-26 15:00:00,-14.0,"[-17.0, -16.0, -15.0, -14.0, -13.0, -13.0, -13.0, -13.0, -13.0, -13.0, -14.0, -16.0, -16.0, -18.0, -17.0, -17.0, -19.0, -20.0, -18.0, -19.0, -20.0, -21.0, -19.0, -16.0]",292.99301886845785,1.2451247029540526,0.59,0.0,111:50,Storms (ice; snow; etc),<100,CoG GT units,Gas,NY
11,2013-01-24 02:00:00,-23.0,"[-18.0, -19.0, -20.0, -21.0, -22.0, -23.0, -23.0, -24.0, -25.0, -25.0, -26.0, -26.0, -26.0, -25.0, -24.0, -22.0, -22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0, -23.0]",399.6727805731897,2.1873589522450954,0.52,0.0,00:26,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
12,2013-01-24 01:00:00,-23.0,"[-17.0, -18.0, -19.0, -20.0, -21.0, -22.0, -23.0, -23.0, -24.0, -25.0, -25.0, -26.0, -26.0, -26.0, -25.0, -24.0, -22.0, -22.0, -21.0, -20.0, -20.0, -21.0, -21.0, -22.0]",396.50654697166397,2.159393631616887,0.53,0.0,00:38,Storms (ice; snow; etc),<100,Gas Turbine/Jet Engine (Simple Cycle Operation),Gas,NY
