datetime,current_T (°C),past_24hr_T (°C),CEI_raw,CEI,D_norm,E_t,NAC_norm,Duration (hh:mm)
2013-01-01 00:00:00,-3.0,"[-10, -11, -11, -11, -12, -11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2]",122.59666682046443,-0.2599217364519141,0.49,0,[],[]
2013-01-01 01:00:00,-3.0,"[-11, -11, -11, -12, -11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3]",117.24901976330679,-0.3071549299291115,0.46,0,[],[]
2013-01-01 02:00:00,-3.0,"[-11, -11, -12, -11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3]",111.59482741260949,-0.3570956904922674,0.44,0,[],[]
2013-01-01 03:00:00,-2.0,"[-11, -12, -11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3]",105.11026083243311,-0.41437074709632743,0.43,0,[],[]
2013-01-01 04:00:00,-2.0,"[-12, -11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2]",98.82023124966203,-0.4699275520022656,0.43,0,[],[]
2013-01-01 05:00:00,-2.0,"[-11, -11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2]",92.2519278491197,-0.5279422156513001,0.43,0,[],[]
2013-01-01 06:00:00,-3.0,"[-11, -11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2]",87.34764825584803,-0.5712593576427901,0.44,0,[],[]
2013-01-01 07:00:00,-5.0,"[-11, -11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3]",84.5904970503745,-0.5956119476589379,0.45,0,[],[]
2013-01-01 08:00:00,-7.0,"[-11, -11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5]",83.91606038106517,-0.6015689222590036,0.46,0,[],[]
2013-01-01 09:00:00,-9.0,"[-11, -12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7]",85.26185681183512,-0.5896821499054696,0.49,0,[],[]
2013-01-01 10:00:00,-11.0,"[-12, -12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9]",88.56727934968197,-0.560486943006944,0.51,0,[],[]
2013-01-01 11:00:00,-11.0,"[-12, -12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11]",91.30656450613905,-0.5362921552056483,0.53,0,[],[]
2013-01-01 12:00:00,-12.0,"[-12, -10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11]",94.96367110790241,-0.5039906921805928,0.54,0,[],[]
2013-01-01 13:00:00,-13.0,"[-10, -7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12]",99.51106451161289,-0.46382575418849,0.54,0,[],[]
2013-01-01 14:00:00,-12.0,"[-7, -5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13]",103.85598552372078,-0.4254491574134006,0.54,0,[],[]
2013-01-01 15:00:00,-12.0,"[-5, -4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12]",109.47148302122856,-0.3758501698707408,0.54,0,[],[]
2013-01-01 16:00:00,-12.0,"[-4, -3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12]",115.85246500431984,-0.31949002617381245,0.57,0,[],[]
2013-01-01 17:00:00,-12.0,"[-3, -2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12]",122.50899223317276,-0.2606961238975175,0.62,0,[],[]
2013-01-01 18:00:00,-11.0,"[-2, -2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12, -12]",128.43279835041446,-0.2083739946570361,0.62,0,[],[]
2013-01-01 19:00:00,-12.0,"[-2, -2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12, -12, -11]",135.64586498939326,-0.14466444754569607,0.62,0,[],[]
2013-01-01 20:00:00,-12.0,"[-2, -3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12, -12, -11, -12]",142.64253962920273,-0.08286618684769599,0.6,0,[],[]
2013-01-01 21:00:00,-13.0,"[-3, -3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12, -12, -11, -12, -12]",150.42931402981787,-0.014089355112837432,0.58,0,[],[]
2013-01-01 22:00:00,-18.0,"[-3, -2, -3, -3, -3, -2, -2, -2, -3, -5, -7, -9, -11, -11, -12, -13, -12, -12, -12, -12, -11, -12, -12, -13]",162.51551049316024,0.09266220306869569,0.54,0,[],[]
