alpha,beta_Dnorm,beta_CEI
-8.774612,3.7557254,1.2471176
-8.434451,3.8032846,1.287551
-10.393358,6.2685966,1.2158715
-10.471884,6.5738945,1.1446846
-10.221138,7.035166,0.95113295
-10.273299,6.9774575,0.947281
-10.465544,7.096656,0.9775873
-10.440705,6.5402026,1.2533056
-10.507925,6.9850373,1.065715
-10.656119,7.366618,1.0892929
-10.175552,6.5462084,1.0403512
-10.045476,6.694354,1.0439961
-9.019178,4.1624775,1.3843976
-9.331657,5.3389473,1.0875877
-9.798534,5.9391212,1.1067467
-10.220237,5.6610765,1.3376205
-9.6991,5.6227093,1.3045795
-9.8345585,5.6325345,1.1453493
-9.514587,5.46672,1.1591969
-7.924466,2.5820892,1.3077028
-8.01809,2.8887753,1.3059391
-7.8592362,2.3995125,1.2788084
-7.766337,2.5564816,1.2719342
-7.6994553,2.426775,1.2932487
-8.010097,2.6448915,1.3606038
-8.357791,3.525099,1.2145656
-8.710002,4.0507536,1.1843212
-8.524391,3.9624636,1.170697
-8.636442,3.9067008,1.2007937
-9.205529,5.4509215,0.9605492
-9.228188,5.2644453,0.94723433
-10.85328,7.569342,1.1276314
-11.259806,8.31975,1.0283204
-11.570043,8.923679,0.97250384
-11.181139,8.371114,0.99988145
-8.969696,4.7923765,1.1355263
-9.332827,5.4994025,0.92550546
-9.457533,5.5076447,1.0721514
-9.512489,5.2305436,1.1485921
-9.47957,5.270531,1.146313
-10.148232,6.101785,1.2159907
-10.232695,5.8989735,1.21052
-10.117165,6.348699,1.2006845
-10.432706,6.6611137,1.2064049
-9.930276,6.4051666,0.98929936
-9.842849,5.6684155,1.2154695
-9.894033,6.123274,1.1560895
-9.745713,6.2007847,1.0964946
-10.387612,6.7822566,1.0834503
-10.256596,6.7030697,1.0383446
-10.4035425,6.861639,1.0748626
-9.495778,5.590449,1.0796202
-9.492187,6.003887,0.95761555
-10.295518,6.916901,1.0477343
-10.475538,6.6028695,1.0518798
-9.054306,5.4581246,1.0091085
-9.0584755,5.5123386,1.0066459
-9.208769,4.937945,1.0075688
-8.456791,3.5288115,1.3105966
-8.230298,3.156686,1.2788647
-9.915084,6.113999,1.1040344
-9.888907,6.1877146,1.1027505
-9.981944,6.375573,1.1919315
-9.997112,6.1498933,1.1964432
-10.054567,6.0390625,1.1960428
-8.980739,4.2362,1.3410386
-9.769155,5.544651,1.2180489
-9.698651,5.6017427,1.2172695
-9.736679,5.61255,1.1274172
-9.574697,5.6712384,1.16476
-9.764892,5.4710927,1.1874173
-9.852704,5.6792293,1.1267059
-9.735878,5.85342,1.138053
-9.404447,5.489551,1.0647624
-9.321717,5.174648,1.058909
-9.326557,5.1688128,1.072829
-8.557333,3.6592922,1.2464426
-8.3792515,3.867196,1.1439061
-8.404731,3.8235674,1.2417717
-8.509624,3.5693622,1.2236108
-8.373302,3.722933,1.2159027
-9.742544,5.4248223,1.2848768
-9.793604,5.5747714,1.2758988
-9.821314,5.821861,1.1713414
-10.421055,6.982153,1.0566597
-10.501126,6.8151894,1.0521848
-10.530299,6.9276094,1.0504402
-10.454093,7.1030364,1.0469307
-9.052013,4.364217,1.2838641
-9.936928,6.3047853,0.9854145
-8.88818,4.6575522,1.0488552
-8.985369,4.5543895,1.1127708
-9.55197,4.989771,1.3017118
-8.51153,3.692075,1.2764952
-8.398315,3.6937597,1.2828759
-10.335167,5.8577228,1.4552232
-10.5289545,6.903272,1.1753608
-10.5289545,6.903272,1.1753608
-9.877115,6.108583,1.1013485
-9.450355,5.146219,1.2250131
-9.681763,5.717296,1.1803089
-8.282882,3.5812929,1.2661808
-8.258338,3.4550407,1.2432107
-8.392752,3.870539,1.1110328
-8.738047,4.1622763,1.1978507
-8.789889,4.241169,1.185386
-9.205473,5.3152347,0.9485969
-9.144317,5.285351,0.98113096
-9.248408,4.636026,1.3122196
-9.202352,4.7246184,1.2763193
-9.661681,5.3324566,1.3160306
-9.711168,5.167411,1.2343993
-9.226853,5.4060907,1.1126765
-9.47383,5.194297,1.0679545
-9.792149,5.590467,1.1739511
-9.994208,5.8637843,1.2014208
-9.72106,5.861758,1.2368999
-8.898577,4.340736,1.3244927
-9.016169,3.9971805,1.3230766
-8.789193,4.3104053,1.3424803
-8.847296,4.2499084,1.3445126
-8.914494,4.1008344,1.342625
-8.720471,4.2423043,1.0907823
-8.654509,4.3316083,1.11287
-8.709616,4.1825013,1.1218625
-8.60076,4.242242,1.0587082
-8.524056,3.4669,1.3606585
-8.060626,3.3009353,1.1904858
-8.297659,3.494513,1.1118785
-10.194398,6.338119,1.252496
-8.637284,3.729619,1.2991937
-9.359993,5.107696,1.1632957
-9.800204,5.938532,1.2302196
