theta_0,theta_1,sigma
0.5045041,0.47775823,1.1316506
0.44488138,0.11498066,1.0986553
0.6535697,-0.017967429,1.0465087
0.6928447,-0.07594851,1.1267077
0.18635806,0.82275796,1.1390816
0.46940124,0.67176616,1.0477816
0.12870902,1.3992271,1.0343776
0.23122463,1.4523737,1.1713718
0.093091875,0.64139354,1.2487903
0.21319368,0.5952494,1.0693786
0.4267409,1.4510735,1.0724677
0.075228706,0.46209905,1.1589521
0.6341837,0.76189715,1.1754655
0.43506253,0.42760643,1.1640557
0.33076516,0.8786111,1.0668441
0.81553686,-0.2953118,1.1776193
0.3233546,0.399543,1.1263517
0.15440112,0.51721597,1.2572654
0.81446934,-0.28571028,1.1137973
0.05736427,1.2617066,1.3282086
0.35889718,0.49014375,1.246015
0.42976597,0.72438204,0.9843911
0.4699683,0.78805006,0.98304737
0.03790457,1.3167077,1.2260205
0.08542327,1.2558708,1.2425187
-0.004374828,0.93678766,1.2482469
0.11791613,2.011306,1.1990496
0.69783497,0.4955305,1.1289114
0.3378827,0.19168665,1.1400869
0.35293576,1.0279154,1.0933923
0.27507317,0.5860761,1.2271508
0.6090757,0.047850773,1.1348481
0.727856,-0.49947307,1.2607467
0.06478373,1.0275737,1.0097945
0.25386864,1.410727,1.0770569
0.041599095,1.3892962,1.022762
0.034635924,2.089322,1.277141
0.043004207,1.4668784,1.1882083
-0.20755202,2.16219,1.2055436
0.39373788,0.69569224,0.9846284
0.20656459,0.9847743,0.98985493
0.39571345,0.6055396,1.0822288
0.10793148,1.5943102,0.9964631
0.42482054,0.9341683,0.9806453
0.27763003,1.0203449,0.96443796
0.43462738,0.5312582,1.1920161
0.07289255,1.1222693,1.1343211
0.077334665,1.5062723,1.2058436
0.2634007,0.9138302,0.9617493
0.6004195,0.31061685,1.0552478
0.4305437,0.46139368,1.0291706
0.06327978,1.6301458,1.1591648
0.033635423,1.179812,1.2437049
-0.054403447,1.4712454,1.2824872
0.0020304003,1.673687,1.2609845
0.23316215,1.5283895,0.98133147
0.029995138,1.3039489,1.134243
0.48378086,0.3152181,1.2728462
0.62853396,0.9319289,1.327389
0.62853396,0.9319289,1.327389
0.12293593,1.427192,1.0172906
0.16365458,1.1648082,1.1236697
0.40669253,0.6236373,1.2128568
0.5933441,-0.13870281,1.2366337
0.15234023,0.9795532,1.2496307
-0.13106056,2.2001805,1.1647931
-0.029376311,1.4856284,1.1960117
0.3691757,1.1291542,1.1679032
0.43689463,0.46242845,1.0918506
0.74582857,-0.08201349,1.1923515
0.41287434,0.41836977,1.1727931
0.2455386,1.1600604,1.3026061
0.44518027,-0.102104105,1.1277167
0.49450436,0.22877757,1.119113
0.61364853,-0.036607996,1.0282952
0.18062843,0.7878643,1.1892623
0.49011344,0.35490108,1.0510049
0.5445864,0.6720752,1.0726322
0.7192911,0.42505196,1.295985
0.4236919,0.20348836,0.9226156
0.26693726,0.8966838,1.1725284
0.14877605,1.1431062,1.0947164
0.32235128,0.7988287,1.1224518
0.40693304,1.0154309,1.0832316
-0.12486424,1.4693811,1.2094276
0.5037005,0.60468435,0.9668171
0.28794459,1.6299133,1.3060347
-0.08776178,0.78841424,1.2884037
-0.053722754,1.5226269,1.1011575
0.4591713,0.30501163,1.2246165
0.29389817,0.805596,1.0581253
0.29389817,0.805596,1.0581253
0.7186379,-0.18233582,1.0350691
0.73082244,0.39228243,1.1940573
0.7365604,0.40831977,1.1900028
0.514876,0.72100544,1.1790621
0.64947397,0.059756044,1.1392515
0.18183964,1.3671595,1.1246781
0.45941493,0.4984679,1.1783857
0.23636788,0.68215066,1.3330175
-0.049049187,1.3378475,1.1840016
-0.051439423,2.1681178,1.3870062
-0.3817291,2.4292302,1.1207786
-0.13324977,1.4699413,1.1657407
0.25488764,0.5936819,1.027163
0.36832696,1.0581077,1.0224531
0.37993494,0.37911645,1.0959815
-0.081446834,1.133653,1.0089402
0.015276327,2.009324,1.0800141
-0.14423306,1.972201,1.0912187
-0.24304813,2.1565194,1.0847563
-0.16687523,2.3097775,1.1410135
0.19468977,1.3950295,1.0080448
0.763521,-0.10429565,0.8910852
0.46860546,0.11317183,0.91540414
0.042800102,1.8319486,1.324141
0.26072282,1.1834204,1.2553012
0.078589514,0.7523708,1.2512136
0.55751103,0.18110138,1.0858619
0.45473012,0.30896375,1.2104986
0.41408202,0.6105825,1.3071756
-0.22465912,1.9770381,0.9763956
-0.19222291,1.9513713,1.3502045
-0.11942706,1.3181862,1.0194061
0.058687065,1.4382759,1.0641664
0.39548552,0.92341936,1.0654424
0.47308174,0.6514168,1.1152844
0.15668157,0.287431,1.1136556
0.36515334,1.4355354,1.1771424
0.32699254,0.47771773,1.0638442
0.3947472,0.6642334,1.0134268
0.0734163,1.2211927,1.3266232
0.51244307,0.21522886,0.9264063
0.59754145,-0.030245591,0.8770668
0.54935664,0.33236802,0.88358176
0.47417787,0.19017643,1.4232135
0.5344832,0.18146862,1.4220734
-0.08405705,1.4354671,1.0234646
0.50144833,0.5028403,1.150573
0.24474518,0.8117976,1.0048894
0.5052828,0.6260079,1.0092946
0.37611893,0.37760508,1.0324395
-0.034884945,1.4154879,1.1272534
0.7100437,-0.35888153,1.2682943
0.6942707,-0.3236502,1.2765646
-0.006024243,1.4156092,0.9691917
0.32228142,0.42220226,1.1177207
0.5686123,0.52993655,1.112775
0.14323157,1.9434446,1.1461787
0.09435461,1.1989725,0.99759805
0.5077812,0.4366709,1.1608076
0.62604266,0.5823788,1.0970563
0.4837542,0.17072676,1.0482211
0.35798424,0.46625027,1.1375732
0.21201913,1.2428811,1.2235864
0.35611373,0.7307235,1.0378193
1.0592362,-1.4320326,1.0876315
1.1481117,-0.9648993,1.0969683
0.90135425,-0.35643455,1.2716085
0.38625485,0.54400945,1.0841422
0.3759634,0.5259919,1.0822247
0.3759634,0.5259919,1.0822247
0.28149825,1.2997152,1.1432568
0.37307936,0.89690644,1.257406
0.53049994,0.011748743,0.9963612
0.57047784,-0.06100345,0.98407
-0.44489875,2.514727,1.2580364
-0.07743297,1.9921944,1.0884817
-0.17062062,1.659765,1.2871867
-0.017642075,1.8859924,1.2537471
0.94389975,-0.84716237,1.0123211
-0.41160488,2.5920534,0.9892861
0.1652373,0.5875952,1.0514432
-0.5608374,3.4656742,1.0766255
1.2780025,-1.4902649,1.2820415
1.180588,-1.5763923,1.267564
1.3178128,-1.5169317,1.2811228
1.3178128,-1.5169317,1.2811228
1.2317815,-1.6652081,1.2293633
0.0848555,1.5703478,1.1227261
0.42208236,0.8174447,1.2580009
0.6161139,0.50134605,1.0636358
0.44884586,-0.38889635,0.9851003
0.51580626,-0.18168281,0.9898773
0.3645047,0.89054346,1.163063
0.30246055,0.85744673,1.1338446
-0.08695145,1.2402692,1.1972634
-0.04149303,2.1437066,1.188616
0.4530802,0.24603505,1.0418992
0.32237116,0.8210203,1.1498574
0.436512,0.53401643,1.0927815
0.15347843,1.802018,1.2610339
0.551536,0.74602437,0.9929796
0.82723147,-0.03643127,1.0958978
-0.1879166,2.3076127,1.0354841
-0.1523307,1.6767262,1.0351672
-0.16126283,2.264025,1.0658892
-0.33030975,2.011928,1.0872978
-0.33030975,2.011928,1.0872978
-0.33313617,2.3602614,1.12352
-0.3262637,2.3600826,1.1130375
-0.018350523,1.4330455,1.1817068
0.5971829,-0.46704546,1.2757196
0.7392596,-0.20993122,1.2434883
0.28891128,0.20781387,1.0233232
-0.059089474,1.716469,1.0508391
0.30363065,0.6429375,1.0668907
0.10242005,0.9666235,1.1260656
0.2666748,1.6743407,1.144783
0.048108876,0.797922,1.1584578
0.24580885,1.9085206,1.1285572
-0.13958375,1.8787479,1.2011251
-0.023234347,0.91093117,1.2397196
0.6022229,-0.370124,1.184613
0.567332,0.70596236,1.1314864
