theta_0,sigma
1.726345,1.4831913
1.8900719,1.6189891
1.8187782,1.3926848
1.6739043,1.2437394
1.7114193,1.2662634
1.8153747,1.5620546
1.7332852,1.4692869
1.7496494,1.4645959
1.4863238,1.4198849
1.6830409,1.4249519
1.4292302,1.5571088
1.3878012,1.5602849
1.6258311,1.7179838
1.77829,1.5325453
1.6320927,1.5085254
1.7383837,1.3926872
1.7383837,1.3926872
1.866235,1.3097217
1.3887956,1.4903588
1.303175,1.4853976
1.6002856,1.2811596
1.5278542,1.573109
1.6179178,1.199653
1.6260637,1.2745302
1.6019416,1.3823717
1.7106941,1.4502966
1.772977,1.3607923
1.4504014,1.4685915
1.5114831,1.4838682
1.5685233,1.4087371
1.6887066,1.4488767
1.5394174,1.4032199
1.3337637,1.548578
1.5136015,1.3950675
1.8078467,1.2734222
1.8509377,1.4921167
1.4079733,1.5051806
1.8476136,1.339873
1.7375574,1.5347441
1.7645066,1.5789845
1.7300535,1.5451782
1.7906761,1.3980174
1.4590727,1.2542614
1.8701311,1.5694759
1.4742018,1.5535836
1.5689512,1.3356919
1.553068,1.5453062
1.6004839,1.3021357
1.4426893,1.3385817
1.7959938,1.2663188
1.6188455,1.472255
1.5251957,1.2698624
1.7336961,1.1964796
1.3283077,1.3595638
1.4858336,1.5737071
1.6740179,1.3202913
1.620056,1.4491417
1.8420843,1.5393276
1.7492174,1.3685051
1.7103618,1.1971161
1.8222986,1.5034523
1.8502542,1.4118675
1.8748045,1.457879
1.616273,1.2670511
1.8452299,1.7257004
1.4707872,1.2041674
1.6864914,1.2248138
1.8971392,1.4506073
1.5961705,1.3954871
1.5747877,1.3581443
1.8176404,1.6259246
1.8198398,1.6450325
1.3743832,1.2478647
1.8474038,1.5740885
1.7096494,1.5948898
1.7096494,1.5948898
1.6309837,1.3331594
1.8351095,1.3100674
1.469488,1.2096729
1.3115085,1.1761467
1.5142148,1.4635305
1.4961636,1.3806031
1.3331727,1.394485
1.6442361,1.4771972
1.6336442,1.361815
1.7377633,1.3204385
1.3914466,1.2568407
1.8815655,1.4406817
1.6330082,1.4133697
1.6422107,1.3582867
1.6151505,1.3916562
1.8085421,1.3246678
1.4382056,1.522846
1.3792937,1.3714457
2.0305707,1.3912687
1.807596,1.7594805
1.666866,1.1940069
1.9455782,1.3880446
2.001908,1.7086074
1.7309834,1.4545734
1.7291706,1.405
1.5562288,1.2192287
1.567465,1.1169972
1.8574848,1.7948339
1.818097,1.431129
1.5066434,1.3956738
1.6650631,1.4298031
1.8328854,1.5425222
1.7478061,1.5382265
1.4213758,1.3150508
1.8740531,1.5566162
1.6629388,1.6102571
1.9728211,1.6672086
1.9594929,1.606413
1.537478,1.3565444
1.5544906,1.272871
1.3127648,1.2881896
1.4263151,1.1645074
1.5518351,1.1938833
1.2865121,1.4105542
1.9121246,1.673485
1.9105712,1.6193916
1.4988889,1.3762857
1.5472103,1.4244027
1.8011819,1.499491
1.4879534,1.3515584
1.6737952,1.3651137
1.3587644,1.5069706
1.8423927,1.5327147
1.6316583,1.5307622
1.6739004,1.3586638
1.7855208,1.2959244
1.5573694,1.5444953
1.5408256,1.1887782
2.0513127,1.4551712
1.6940217,1.4945772
1.5752578,1.6393089
1.7093691,1.2999194
1.478231,1.5927278
1.3850173,1.6087168
1.6923492,1.627651
1.5784466,1.6227006
1.7526606,1.6669695
1.5005114,1.5068364
1.7831032,1.6646086
1.734674,1.4194169
1.6905966,1.545868
1.7996118,1.256639
1.8332144,1.8064098
1.8088971,1.91069
1.6088653,1.1686075
1.68545,1.7732614
1.656789,1.1252687
1.6350125,1.3760753
1.4980122,1.2842835
1.7852211,1.5710344
1.3644713,1.4168897
1.2827779,1.363658
1.4466369,1.4545927
1.6123278,1.4875289
1.6590065,1.3486948
1.4320402,1.5840021
2.0783508,1.5239122
2.0283644,1.7690793
2.0428135,1.8241078
1.9633071,1.8081974
1.3849012,1.1993678
1.614264,1.354917
1.269812,1.4375397
1.5835018,1.2595943
1.4831208,1.38399
1.6460788,1.4554918
1.609965,1.5116162
1.372707,1.5724987
1.5634524,1.6134607
1.7036214,1.256968
1.7506936,1.4001725
1.4130464,1.4983685
1.9374096,1.5359988
1.6804274,1.8343822
1.7645056,1.4641898
1.4438506,1.5764928
1.4230245,1.533937
2.0253625,1.4052079
2.1800702,1.4222792
1.8280636,1.6658235
1.4728659,1.2670748
1.5276136,1.4475307
1.7083582,1.5499423
1.462726,1.7856194
1.5497504,1.3007739
1.5440701,1.2879839
1.5807481,1.445238
1.6155082,1.378026
1.8286749,1.5487764
1.582096,1.390133
1.5652401,1.4670874
1.525003,1.2648714
1.569169,1.2909122
1.6596665,1.3677124
1.7954326,1.4056003
1.5570482,1.4800211
1.5851167,1.5585351
1.695105,1.4684259
1.6126693,1.336616
1.726738,1.5150563
1.4125954,1.5970984
1.7181554,1.5776942
1.7945038,1.5093899
1.538991,1.4711112
1.6392457,1.3645501
1.6670883,1.5101829
1.780497,1.3877227
1.4294186,1.5160023
1.6360325,1.4536359
1.6360325,1.4536359
1.5280963,1.4635868
1.7147131,1.3744975
1.8552248,1.4045441
1.8106161,1.4959173
1.4278857,1.3669803
1.8474783,1.4706256
1.319184,1.4504436
1.4177285,1.5179046
1.6212816,1.6608852
1.5334675,1.6062709
1.6581503,1.5420389
1.6136013,1.3013651
1.7442249,1.5037029
1.603959,1.2215984
1.5845203,1.6392637
1.4887519,1.5210965
1.8429589,1.3808287
1.6810359,1.3673775
1.5396173,1.5109963
1.6698298,1.3286476
1.7202321,1.2515283
1.8056551,1.3323238
1.5856682,1.5773369
1.7701228,1.2651474
1.4755676,1.3341793
1.5124238,1.358979
1.6961449,1.5115383
1.5483258,1.3863763
1.5329578,1.4788179
1.5633386,1.4242097
1.7360444,1.4403098
1.5285865,1.5130596
1.5825611,1.4867089
1.8276547,1.3903623
1.5734112,1.323056
1.5186201,1.3422995
1.6762447,1.4902201
1.7480891,1.3832777
1.0579257,1.5938029
1.0917956,1.5850686
1.2358608,1.4650875
1.6852463,1.6476946
1.4002217,1.3556232
1.6169167,1.3397057
1.617144,1.4341347
1.641969,1.3936121
1.2623854,1.3503426
1.2623854,1.3503426
1.5569723,1.313249
1.38379,1.6666946
1.6728017,1.1505439
1.5608057,1.1420403
1.5900193,1.1722084
1.6450448,1.1825751
1.4333887,1.4250135
1.7997506,1.409711
1.5310268,1.3776537
1.8213083,1.3327413
1.4354537,1.2271608
1.5818703,1.3994977
1.3437746,1.5815055
1.5855397,1.396301
1.7016859,1.4178064
1.5085198,1.4528999
1.693279,1.3643768
1.5473192,1.476557
1.4691241,1.449373
1.6709894,1.3782018
1.5928013,1.409474
1.7948871,1.3967942
1.7648323,1.4161191
1.5565442,1.4269481
1.741444,1.3625598
1.661221,1.3652041
1.5618709,1.2090666
1.7903075,1.1911883
1.5632367,1.2688255
1.641702,1.5380639
1.4875957,1.4267015
1.4267803,1.4372208
1.8124725,1.4255507
1.9296052,1.439816
1.8769045,1.4429495
1.8822623,1.3499913
2.0445876,1.3041213
1.1964073,1.4726783
1.3649123,1.5049784
1.5576735,1.8535085
1.6465701,1.5457662
1.7116169,1.2999096
1.6698568,1.3166971
1.4319285,1.3752146
2.0504766,1.6952381
1.4778771,1.317511
1.5879314,1.3091685
1.4905015,1.3965724
1.4275097,1.3123679
1.2916223,1.6046453
1.391319,1.5829754
1.3483046,1.5250942
1.9538076,1.4819555
1.6616572,1.3609148
1.656176,1.3753152
1.5485231,1.3503065
1.6431677,1.4592248
1.6899382,1.4639809
1.4720683,1.4117928
1.4380678,1.5101094
1.5970378,1.2420722
1.470228,1.358641
1.931043,1.3993884
1.5599189,1.4485962
1.5841131,1.4174874
1.7308594,1.437177
1.469718,1.4113343
1.4388644,1.4033992
1.5371375,1.6461856
1.6801822,1.4024708
1.6634322,1.4087356
1.5278974,1.5296278
1.5841583,1.5607407
1.4814556,1.6064224
1.945207,1.3961469
1.475467,1.4797043
1.6212814,1.5855951
1.6760725,1.6561663
1.7951491,1.4906881
1.8063205,1.514942
1.8364667,1.5407687
1.4485098,1.773768
1.2994825,1.4819409
1.9455909,1.3029189
1.9600061,1.3722743
1.7910808,1.3264272
1.4553376,1.6107004
1.7479445,1.6792755
1.5312268,1.233571
1.8147954,1.7122688
1.6451291,1.2514751
1.615604,1.5958891
1.8196691,1.7028759
1.8975848,1.5056263
1.8423356,1.5222974
1.5814034,1.4329491
1.6550268,1.652417
1.6618874,1.4330287
1.7116666,1.4806466
1.6765186,1.5683887
1.5237255,1.3165686
1.8261099,1.2302004
1.6409106,1.3404887
1.7623945,1.5615269
1.4325689,1.3707671
1.4557941,1.5547079
1.469027,1.3763672
1.4006478,1.3845038
1.3678163,1.5056145
1.3456349,1.4981984
1.4021453,1.4659853
1.8596975,1.5232337
1.7794875,1.5246606
1.4912574,1.3585105
1.6500777,1.3445824
1.683157,1.4252863
1.683157,1.4252863
1.5579001,1.6049595
1.6488141,1.5760717
1.2740779,1.6401
1.2374443,1.5076268
1.6007262,1.5236241
1.4681456,1.4208536
1.3427579,1.7899988
1.3112413,1.8416324
1.6167566,1.4275879
1.7120264,1.4025269
1.6393459,1.5512414
1.4537394,1.2956347
1.6841123,1.6001315
1.587328,1.2816374
1.5775499,1.4484973
1.7635694,1.337475
1.8296726,1.7595801
1.8401558,1.6750607
1.8177396,1.6181135
1.600457,1.6149877
1.6155314,1.3495117
1.6155314,1.3495117
1.6515033,1.4799421
1.5758108,1.3480378
1.5530463,1.4648097
1.4490514,1.2065372
1.3839622,1.2848766
1.4371002,1.3003234
1.4077156,1.3796728
1.4448578,1.3027484
1.4032223,1.7154741
1.371492,1.8129647
1.7460135,1.4209691
1.4166406,1.496135
1.9213759,1.3216467
1.7947762,1.4505167
1.7947762,1.4505167
1.7016709,1.5045327
1.8573737,1.371316
1.3959332,1.4647933
1.5498198,1.3288615
1.2617422,1.4144919
1.1113194,1.3534257
2.1293013,1.6056293
2.2072415,1.5881383
2.2645502,1.6627164
2.198928,1.7713176
2.1678302,1.6146911
2.2567785,1.5721568
2.2235208,1.5341097
1.9643998,1.5885913
1.3320948,1.2881792
1.5050315,1.4064415
1.5192571,1.5729351
1.3290055,1.3733187
1.2996702,1.3850607
1.8610655,1.4552705
1.8397017,1.4710364
1.8558064,1.4916441
1.5439242,1.5678755
1.6849648,1.2946185
1.157281,1.4760269
1.1617129,1.5245409
1.238775,1.4875307
1.6169472,1.5368419
1.7697064,1.609897
1.3193476,1.385888
1.424186,1.4739257
1.3356961,1.6600038
1.4014493,1.5152857
1.4053813,1.4957654
1.2788962,1.516385
1.6647656,1.4404107
1.5533564,1.4471471
1.486,1.7149343
1.5338008,1.6529562
1.7666322,1.3161684
1.49632,1.4659011
1.4812909,1.4629533
1.4715908,1.4277073
1.4527225,1.6624513
1.2813679,1.6521714
1.1920239,1.362004
1.6367202,1.3674934
1.5739065,1.3969892
1.5568706,1.2756946
1.7745366,1.6094875
1.6293261,1.2751553
1.6519763,1.2144085
1.7684013,1.1938089
1.7907958,1.2627828
1.6736262,1.3334556
1.933117,1.3940907
1.5672798,1.5965501
1.6869557,1.2738943
1.4400805,1.5002992
1.3808614,1.4029542
1.4782926,1.3866963
1.7024753,1.4030697
1.7489322,1.6509442
1.4508468,1.3649683
1.6563278,1.3494352
1.5939319,1.486665
1.6501983,1.2654353
1.645216,1.1808722
1.4676533,1.5922258
1.5446702,1.4837861
1.8917099,1.5394499
1.9528109,1.611843
1.6716336,1.5723319
1.7428056,1.3741431
1.9397336,1.474193
1.5167247,1.4276549
1.7662226,1.39969
1.531554,1.2545562
1.6971905,1.3479075
1.4847958,1.4677327
1.5052769,1.4578819
1.6677657,1.4358836
1.8226829,1.2512412
1.8411494,1.4307129
1.7530689,1.4990544
1.5744911,1.2578994
1.3934438,1.3322935
1.4039562,1.3297038
1.7820307,1.5802811
1.618412,1.4231339
1.8058773,1.309299
1.8291328,1.6690105
1.537436,1.4225353
1.6076406,1.3636262
1.306449,1.332987
1.4398603,1.8574164
1.652889,1.6837461
1.7151343,1.318608
1.4756519,1.2887207
1.5828602,1.3054049
1.6344271,1.5109057
1.9168344,1.4922776
1.7430389,1.3195127
1.7798721,1.2747878
1.7798721,1.2747878
